Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.Μῆνιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.1@Μῆνιν	Μῆνιν
urn:cite:perseus:lextoken.ἄειδε	urn:cts:greekLit:tlg0012.tlg001.msA:1.1@ἄειδε	ἄειδε
urn:cite:perseus:lextoken.θεὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.1@θεὰ	θεὰ
urn:cite:perseus:lextoken.Πηληϊάδεω	urn:cts:greekLit:tlg0012.tlg001.msA:1.1@Πηληϊάδεω	Πηληϊάδεω
urn:cite:perseus:lextoken.Ἀχιλῆος	urn:cts:greekLit:tlg0012.tlg001.msA:1.1@Ἀχιλῆος	Ἀχιλῆος
urn:cite:perseus:lextoken.οὐλομένην	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@οὐλομένην,	οὐλομένην
urn:cite:perseus:lextoken.ἡ	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἡ	ἡ
urn:cite:perseus:lextoken.μυρί᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@μυρί᾽	μυρί᾽
urn:cite:perseus:lextoken.Ἀχαιοῖς	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@Ἀχαιοῖς	Ἀχαιοῖς
urn:cite:perseus:lextoken.ἄλγε᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἄλγε᾽	ἄλγε᾽
urn:cite:perseus:lextoken.ἔθηκε	urn:cts:greekLit:tlg0012.tlg001.msA:1.2@ἔθηκε,	ἔθηκε
urn:cite:perseus:lextoken.πολλὰς	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@πολλὰς	πολλὰς
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἰφθίμους	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@ἰφθίμους	ἰφθίμους
urn:cite:perseus:lextoken.ψυχὰς	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@ψυχὰς	ψυχὰς
urn:cite:perseus:lextoken.Ἄϊδι	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@Ἄϊδι	Ἄϊδι
urn:cite:perseus:lextoken.προΐαψεν	urn:cts:greekLit:tlg0012.tlg001.msA:1.3@προΐαψεν	προΐαψεν
urn:cite:perseus:lextoken.ἡρώων	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@ἡρώων,	ἡρώων
urn:cite:perseus:lextoken.αὐτοὺς	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@αὐτοὺς	αὐτοὺς
urn:cite:perseus:lextoken.δὲ	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@δὲ	δὲ
urn:cite:perseus:lextoken.ἑλώρια	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@ἑλώρια	ἑλώρια
urn:cite:perseus:lextoken.τεῦχε	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@τεῦχε	τεῦχε
urn:cite:perseus:lextoken.κύνεσσιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.4@κύνεσσιν	κύνεσσιν
urn:cite:perseus:lextoken.οἰωνοῖσί	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@οἰωνοῖσί	οἰωνοῖσί
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@τε	τε
urn:cite:perseus:lextoken.πᾶσι	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@πᾶσι,	πᾶσι
urn:cite:perseus:lextoken.Διὸς	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@Διὸς	Διὸς
exiturn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@δ᾽	exitδ᾽
urn:cite:perseus:lextoken.ἐτελείετο	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@ἐτελείετο	ἐτελείετο
urn:cite:perseus:lextoken.βουλή	urn:cts:greekLit:tlg0012.tlg001.msA:1.5@βουλή,	βουλή
urn:cite:perseus:lextoken.ἐξ	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@ἐξ	ἐξ
urn:cite:perseus:lextoken.οὗ	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@οὗ	οὗ
urn:cite:perseus:lextoken.δὴ	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@δὴ	δὴ
urn:cite:perseus:lextoken.τὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@τὰ	τὰ
urn:cite:perseus:lextoken.πρῶτα	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@πρῶτα	πρῶτα
urn:cite:perseus:lextoken.διαστήτην	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@διαστήτην	διαστήτην
urn:cite:perseus:lextoken.ἐρίσαντε	urn:cts:greekLit:tlg0012.tlg001.msA:1.6@ἐρίσαντε	ἐρίσαντε
urn:cite:perseus:lextoken.Ἀτρεΐδης	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@Ἀτρεΐδης	Ἀτρεΐδης
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@τε	τε
urn:cite:perseus:lextoken.ἄναξ	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@ἄναξ	ἄναξ
urn:cite:perseus:lextoken.ἀνδρῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@ἀνδρῶν	ἀνδρῶν
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@καὶ	καὶ
urn:cite:perseus:lextoken.δῖος	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@δῖος	δῖος
urn:cite:perseus:lextoken.Ἀχιλλεύς	urn:cts:greekLit:tlg0012.tlg001.msA:1.7@Ἀχιλλεύς.	Ἀχιλλεύς
urn:cite:perseus:lextoken.Τίς	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@Τίς	Τίς
urn:cite:perseus:lextoken.τάρ	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@τάρ	τάρ
urn:cite:perseus:lextoken.σφωε	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@σφωε	σφωε
urn:cite:perseus:lextoken.θεῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@θεῶν	θεῶν
urn:cite:perseus:lextoken.ἔριδι	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@ἔριδι	ἔριδι
urn:cite:perseus:lextoken.ξυνἕηκε	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@ξυνἕηκε	ξυνἕηκε
urn:cite:perseus:lextoken.μάχεσθαι;	urn:cts:greekLit:tlg0012.tlg001.msA:1.8@μάχεσθαι;	μάχεσθαι;
urn:cite:perseus:lextoken.Λητοῦς	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@Λητοῦς	Λητοῦς
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@καὶ	καὶ
urn:cite:perseus:lextoken.Διὸς	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@Διὸς	Διὸς
urn:cite:perseus:lextoken.υἱός	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@υἱός·	υἱός
urn:cite:perseus:lextoken.ὁ	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@ὁ	ὁ
urn:cite:perseus:lextoken.γὰρ	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@γὰρ	γὰρ
urn:cite:perseus:lextoken.βασιλῆϊ	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@βασιλῆϊ	βασιλῆϊ
urn:cite:perseus:lextoken.χολωθεὶς	urn:cts:greekLit:tlg0012.tlg001.msA:1.9@χολωθεὶς	χολωθεὶς
urn:cite:perseus:lextoken.νοῦσον	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@νοῦσον	νοῦσον
urn:cite:perseus:lextoken.ἀνὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ἀνὰ	ἀνὰ
urn:cite:perseus:lextoken.στρατὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@στρατὸν	στρατὸν
urn:cite:perseus:lextoken.ὦρσε	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ὦρσε	ὦρσε
urn:cite:perseus:lextoken.κακήν	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@κακήν,	κακήν
urn:cite:perseus:lextoken.ὀλέκοντο	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@ὀλέκοντο	ὀλέκοντο
urn:cite:perseus:lextoken.δὲ	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@δὲ	δὲ
urn:cite:perseus:lextoken.λαοί	urn:cts:greekLit:tlg0012.tlg001.msA:1.10@λαοί,	λαοί
urn:cite:perseus:lextoken.οὕνεκα	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@οὕνεκα	οὕνεκα
urn:cite:perseus:lextoken.τὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@τὸν	τὸν
urn:cite:perseus:lextoken.Χρύσην	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@Χρύσην	Χρύσην
urn:cite:perseus:lextoken.ἠτίμασεν	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@ἠτίμασεν	ἠτίμασεν
urn:cite:perseus:lextoken.ἀρητῆρα	urn:cts:greekLit:tlg0012.tlg001.msA:1.11@ἀρητῆρα	ἀρητῆρα
urn:cite:perseus:lextoken.Ἀτρεΐδης	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@Ἀτρεΐδης·	Ἀτρεΐδης
urn:cite:perseus:lextoken.ὃ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ὃ	ὃ
urn:cite:perseus:lextoken.γὰρ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@γὰρ	γὰρ
urn:cite:perseus:lextoken.ἦλθε	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ἦλθε	ἦλθε
urn:cite:perseus:lextoken.θοὰς	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@θοὰς	θοὰς
urn:cite:perseus:lextoken.ἐπὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@ἐπὶ	ἐπὶ
urn:cite:perseus:lextoken.νῆας	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@νῆας	νῆας
urn:cite:perseus:lextoken.Ἀχαιῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.12@Ἀχαιῶν	Ἀχαιῶν
urn:cite:perseus:lextoken.λυσόμενός	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@λυσόμενός	λυσόμενός
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@τε	τε
urn:cite:perseus:lextoken.θύγατρα	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@θύγατρα	θύγατρα
urn:cite:perseus:lextoken.φέρων	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@φέρων	φέρων
urn:cite:perseus:lextoken.τ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@τ᾽	τ᾽
urn:cite:perseus:lextoken.ἀπερείσι᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@ἀπερείσι᾽	ἀπερείσι᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msA:1.13@ἄποινα,	ἄποινα
urn:cite:perseus:lextoken.στέμματ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@στέμματ᾽	στέμματ᾽
urn:cite:perseus:lextoken.ἔχων	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἔχων	ἔχων
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἐν	ἐν
urn:cite:perseus:lextoken.χερσὶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@χερσὶν	χερσὶν
urn:cite:perseus:lextoken.ἑκηβόλου	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@ἑκηβόλου	ἑκηβόλου
urn:cite:perseus:lextoken.Ἀπόλλωνος	urn:cts:greekLit:tlg0012.tlg001.msA:1.14@Ἀπόλλωνος	Ἀπόλλωνος
urn:cite:perseus:lextoken.χρυσέῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@χρυσέῳ	χρυσέῳ
urn:cite:perseus:lextoken.ἀνὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@ἀνὰ	ἀνὰ
urn:cite:perseus:lextoken.σκήπτρῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@σκήπτρῳ,	σκήπτρῳ
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@καὶ	καὶ
urn:cite:perseus:lextoken.ἐλίσσετο	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@ἐλίσσετο	ἐλίσσετο
urn:cite:perseus:lextoken.πάντας	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@πάντας	πάντας
urn:cite:perseus:lextoken.Ἀχαιούς	urn:cts:greekLit:tlg0012.tlg001.msA:1.15@Ἀχαιούς,	Ἀχαιούς
urn:cite:perseus:lextoken.Ἀτρεΐδα	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@Ἀτρεΐδα	Ἀτρεΐδα
urn:cite:perseus:lextoken.δὲ	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@δὲ	δὲ
urn:cite:perseus:lextoken.μάλιστα	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@μάλιστα	μάλιστα
urn:cite:perseus:lextoken.δύω	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@δύω,	δύω
urn:cite:perseus:lextoken.κοσμήτορε	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@κοσμήτορε	κοσμήτορε
urn:cite:perseus:lextoken.λαῶν	urn:cts:greekLit:tlg0012.tlg001.msA:1.16@λαῶν·	λαῶν
urn:cite:perseus:lextoken.Ἀτρεΐδαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@Ἀτρεΐδαι	Ἀτρεΐδαι
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@τε	τε
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@καὶ	καὶ
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.ἐϋκνήμιδες	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@ἐϋκνήμιδες	ἐϋκνήμιδες
urn:cite:perseus:lextoken.Ἀχαιοί	urn:cts:greekLit:tlg0012.tlg001.msA:1.17@Ἀχαιοί,	Ἀχαιοί
urn:cite:perseus:lextoken.ὑμῖν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@ὑμῖν	ὑμῖν
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@μὲν	μὲν
urn:cite:perseus:lextoken.θεοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@θεοὶ	θεοὶ
urn:cite:perseus:lextoken.δοῖεν	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@δοῖεν	δοῖεν
urn:cite:perseus:lextoken.Ὀλύμπια	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@Ὀλύμπια	Ὀλύμπια
urn:cite:perseus:lextoken.δώματ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@δώματ᾽	δώματ᾽
urn:cite:perseus:lextoken.ἔχοντες	urn:cts:greekLit:tlg0012.tlg001.msA:1.18@ἔχοντες	ἔχοντες
urn:cite:perseus:lextoken.ἐκπέρσαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@ἐκπέρσαι	ἐκπέρσαι
urn:cite:perseus:lextoken.Πριάμοιο	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@Πριάμοιο	Πριάμοιο
urn:cite:perseus:lextoken.πόλιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@πόλιν,	πόλιν
urn:cite:perseus:lextoken.εὖ	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@εὖ	εὖ
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@δ᾽	δ᾽
urn:cite:perseus:lextoken.οἴκαδ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@οἴκαδ᾽	οἴκαδ᾽
urn:cite:perseus:lextoken.ἱκέσθαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.19@ἱκέσθαι·	ἱκέσθαι
urn:cite:perseus:lextoken.παῖδα	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@παῖδα	παῖδα
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἐμοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@ἐμοὶ	ἐμοὶ
urn:cite:perseus:lextoken.λύσαιτε	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@λύσαιτε	λύσαιτε
urn:cite:perseus:lextoken.φίλην	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@φίλην,	φίλην
urn:cite:perseus:lextoken.τὰδ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@τὰδ᾽	τὰδ᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@ἄποινα	ἄποινα
urn:cite:perseus:lextoken.δεχέσθαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.20@δεχέσθαι,	δεχέσθαι
urn:cite:perseus:lextoken.ἁζόμενοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@ἁζόμενοι	ἁζόμενοι
urn:cite:perseus:lextoken.Διὸς	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@Διὸς	Διὸς
urn:cite:perseus:lextoken.υἱὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@υἱὸν	υἱὸν
urn:cite:perseus:lextoken.ἑκηβόλον	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@ἑκηβόλον	ἑκηβόλον
urn:cite:perseus:lextoken.Ἀπόλλωνα	urn:cts:greekLit:tlg0012.tlg001.msA:1.21@Ἀπόλλωνα.	Ἀπόλλωνα
urn:cite:perseus:lextoken.Ἔνθ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@Ἔνθ᾽	Ἔνθ᾽
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@μὲν	μὲν
urn:cite:perseus:lextoken.πάντες	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@πάντες	πάντες
urn:cite:perseus:lextoken.ἐπευφήμησαν	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@ἐπευφήμησαν	ἐπευφήμησαν
urn:cite:perseus:lextoken.Ἀχαιοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@Ἀχαιοὶ	Ἀχαιοὶ
