Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.γὰρ	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@γὰρ	γὰρ
urn:cite:perseus:lextoken.ἦλθε	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@ἦλθε	ἦλθε
urn:cite:perseus:lextoken.θοὰς	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@θοὰς	θοὰς
urn:cite:perseus:lextoken.ἐπὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@ἐπὶ	ἐπὶ
urn:cite:perseus:lextoken.νῆας	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@νῆας	νῆας
urn:cite:perseus:lextoken.Ἀχαιῶν	urn:cts:greekLit:tlg0012.tlg001.msB:1.12@Ἀχαιῶν	Ἀχαιῶν
urn:cite:perseus:lextoken.λυσόμενός	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@λυσόμενός	λυσόμενός
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@τε	τε
urn:cite:perseus:lextoken.θύγατρα	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@θύγατρα	θύγατρα
urn:cite:perseus:lextoken.φέρων	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@φέρων	φέρων
urn:cite:perseus:lextoken.τ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@τ᾽	τ᾽
urn:cite:perseus:lextoken.ἀπερείσι᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@ἀπερείσι᾽	ἀπερείσι᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msB:1.13@ἄποινα,	ἄποινα
urn:cite:perseus:lextoken.στέμματ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@στέμματ᾽	στέμματ᾽
urn:cite:perseus:lextoken.ἔχων	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@ἔχων	ἔχων
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@ἐν	ἐν
urn:cite:perseus:lextoken.χερσὶν	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@χερσὶν	χερσὶν
urn:cite:perseus:lextoken.ἑκηβόλου	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@ἑκηβόλου	ἑκηβόλου
urn:cite:perseus:lextoken.Ἀπόλλωνος	urn:cts:greekLit:tlg0012.tlg001.msB:1.14@Ἀπόλλωνος	Ἀπόλλωνος
urn:cite:perseus:lextoken.χρυσέῳ	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@χρυσέῳ	χρυσέῳ
urn:cite:perseus:lextoken.ἀνὰ	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@ἀνὰ	ἀνὰ
urn:cite:perseus:lextoken.σκήπτρῳ	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@σκήπτρῳ,	σκήπτρῳ
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@καὶ	καὶ
urn:cite:perseus:lextoken.ἐλίσσετο	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@ἐλίσσετο	ἐλίσσετο
urn:cite:perseus:lextoken.πάντας	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@πάντας	πάντας
urn:cite:perseus:lextoken.Ἀχαιούς	urn:cts:greekLit:tlg0012.tlg001.msB:1.15@Ἀχαιούς,	Ἀχαιούς
urn:cite:perseus:lextoken.Ἀτρεΐδα	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@Ἀτρεΐδα	Ἀτρεΐδα
urn:cite:perseus:lextoken.δὲ	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@δὲ	δὲ
urn:cite:perseus:lextoken.μάλιστα	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@μάλιστα	μάλιστα
urn:cite:perseus:lextoken.δύω	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@δύω,	δύω
urn:cite:perseus:lextoken.κοσμήτορε	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@κοσμήτορε	κοσμήτορε
urn:cite:perseus:lextoken.λαῶν	urn:cts:greekLit:tlg0012.tlg001.msB:1.16@λαῶν·	λαῶν
urn:cite:perseus:lextoken.Ἀτρεΐδαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@Ἀτρεΐδαι	Ἀτρεΐδαι
urn:cite:perseus:lextoken.τε	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@τε	τε
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@καὶ	καὶ
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.ἐϋκνήμιδες	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@ἐϋκνήμιδες	ἐϋκνήμιδες
urn:cite:perseus:lextoken.Ἀχαιοί	urn:cts:greekLit:tlg0012.tlg001.msB:1.17@Ἀχαιοί,	Ἀχαιοί
urn:cite:perseus:lextoken.ὑμῖν	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@ὑμῖν	ὑμῖν
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@μὲν	μὲν
urn:cite:perseus:lextoken.θεοὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@θεοὶ	θεοὶ
urn:cite:perseus:lextoken.δοῖεν	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@δοῖεν	δοῖεν
urn:cite:perseus:lextoken.Ὀλύμπια	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@Ὀλύμπια	Ὀλύμπια
urn:cite:perseus:lextoken.δώματ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@δώματ᾽	δώματ᾽
urn:cite:perseus:lextoken.ἔχοντες	urn:cts:greekLit:tlg0012.tlg001.msB:1.18@ἔχοντες	ἔχοντες
urn:cite:perseus:lextoken.ἐκπέρσαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@ἐκπέρσαι	ἐκπέρσαι
urn:cite:perseus:lextoken.Πριάμοιο	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@Πριάμοιο	Πριάμοιο
urn:cite:perseus:lextoken.πόλιν	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@πόλιν,	πόλιν
urn:cite:perseus:lextoken.εὖ	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@εὖ	εὖ
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@δ᾽	δ᾽
urn:cite:perseus:lextoken.οἴκαδ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@οἴκαδ᾽	οἴκαδ᾽
urn:cite:perseus:lextoken.ἱκέσθαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.19@ἱκέσθαι·	ἱκέσθαι
urn:cite:perseus:lextoken.παῖδα	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@παῖδα	παῖδα
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἐμοὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@ἐμοὶ	ἐμοὶ
urn:cite:perseus:lextoken.λύσαιτε	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@λύσαιτε	λύσαιτε
urn:cite:perseus:lextoken.φίλην	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@φίλην,	φίλην
urn:cite:perseus:lextoken.τὰδ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@τὰδ᾽	τὰδ᾽
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@ἄποινα	ἄποινα
urn:cite:perseus:lextoken.δέχεσθαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.20@δέχεσθαι,	δέχεσθαι
urn:cite:perseus:lextoken.ἁζόμενοι	urn:cts:greekLit:tlg0012.tlg001.msB:1.21@ἁζόμενοι	ἁζόμενοι
urn:cite:perseus:lextoken.Διὸς	urn:cts:greekLit:tlg0012.tlg001.msB:1.21@Διὸς	Διὸς
urn:cite:perseus:lextoken.υἱὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.21@υἱὸν	υἱὸν
urn:cite:perseus:lextoken.ἑκηβόλον	urn:cts:greekLit:tlg0012.tlg001.msB:1.21@ἑκηβόλον	ἑκηβόλον
urn:cite:perseus:lextoken.Ἀπόλλωνα	urn:cts:greekLit:tlg0012.tlg001.msB:1.21@Ἀπόλλωνα.	Ἀπόλλωνα
urn:cite:perseus:lextoken.ἔνθ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@ἔνθ᾽	ἔνθ᾽
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@μὲν	μὲν
urn:cite:perseus:lextoken.πάντες	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@πάντες	πάντες
urn:cite:perseus:lextoken.ἐπευφήμησαν	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@ἐπευφήμησαν	ἐπευφήμησαν
urn:cite:perseus:lextoken.Ἀχαιοὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.22@Ἀχαιοὶ	Ἀχαιοὶ
urn:cite:perseus:lextoken.αἰδεῖσθαί	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@αἰδεῖσθαί	αἰδεῖσθαί
urn:cite:perseus:lextoken.θ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@θ᾽	θ᾽
urn:cite:perseus:lextoken.ἱερῆα	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@ἱερῆα	ἱερῆα
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@καὶ	καὶ
urn:cite:perseus:lextoken.ἀγλαὰ	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@ἀγλαὰ	ἀγλαὰ
urn:cite:perseus:lextoken.δέχθαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@δέχθαι	δέχθαι
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msB:1.23@ἄποινα·	ἄποινα
urn:cite:perseus:lextoken.ἀλλ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@ἀλλ᾽	ἀλλ᾽
urn:cite:perseus:lextoken.οὐκ	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@οὐκ	οὐκ
urn:cite:perseus:lextoken.Ἀτρεΐδῃ	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@Ἀτρεΐδῃ	Ἀτρεΐδῃ
urn:cite:perseus:lextoken.Ἀγαμέμνονι	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@Ἀγαμέμνονι	Ἀγαμέμνονι
urn:cite:perseus:lextoken.ἥνδανε	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@ἥνδανε	ἥνδανε
urn:cite:perseus:lextoken.θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msB:1.24@θυμῷ,	θυμῷ
urn:cite:perseus:lextoken.ἀλλὰ	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@ἀλλὰ	ἀλλὰ
urn:cite:perseus:lextoken.κακῶς	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@κακῶς	κακῶς
urn:cite:perseus:lextoken.ἀφίει	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@ἀφίει,	ἀφίει
urn:cite:perseus:lextoken.κρατερὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@κρατερὸν	κρατερὸν
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἐπὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@ἐπὶ	ἐπὶ
urn:cite:perseus:lextoken.μῦθον	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@μῦθον	μῦθον
urn:cite:perseus:lextoken.ἔτελλε	urn:cts:greekLit:tlg0012.tlg001.msB:1.25@ἔτελλε·	ἔτελλε
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@μή	μή
urn:cite:perseus:lextoken.σε	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@σε	σε
urn:cite:perseus:lextoken.γέρον	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@γέρον	γέρον
urn:cite:perseus:lextoken.κοίλῃσιν	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@κοίλῃσιν	κοίλῃσιν
urn:cite:perseus:lextoken.ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@ἐγὼ	ἐγὼ
urn:cite:perseus:lextoken.παρὰ	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@παρὰ	παρὰ
urn:cite:perseus:lextoken.νηυσὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@νηυσὶ	νηυσὶ
urn:cite:perseus:lextoken.κιχείω	urn:cts:greekLit:tlg0012.tlg001.msB:1.26@κιχείω	κιχείω
urn:cite:perseus:lextoken.ἢ	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@ἢ	ἢ
urn:cite:perseus:lextoken.νῦν	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@νῦν	νῦν
urn:cite:perseus:lextoken.δηθύνοντ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@δηθύνοντ᾽	δηθύνοντ᾽
urn:cite:perseus:lextoken.ἢ	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@ἢ	ἢ
urn:cite:perseus:lextoken.ὕστερον	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@ὕστερον	ὕστερον
urn:cite:perseus:lextoken.αὖτις	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@αὖτις	αὖτις
urn:cite:perseus:lextoken.ἰόντα	urn:cts:greekLit:tlg0012.tlg001.msB:1.27@ἰόντα,	ἰόντα
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@μή	μή
urn:cite:perseus:lextoken.νύ	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@νύ	νύ
urn:cite:perseus:lextoken.τοι	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@τοι	τοι
urn:cite:perseus:lextoken.οὐ	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@οὐ	οὐ
urn:cite:perseus:lextoken.χραίσμῃ	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@χραίσμῃ	χραίσμῃ
urn:cite:perseus:lextoken.σκῆπτρον	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@σκῆπτρον	σκῆπτρον
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@καὶ	καὶ
urn:cite:perseus:lextoken.στέμμα	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@στέμμα	στέμμα
urn:cite:perseus:lextoken.θεοῖο	urn:cts:greekLit:tlg0012.tlg001.msB:1.28@θεοῖο·	θεοῖο
urn:cite:perseus:lextoken.τὴνδ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@τὴνδ᾽	τὴνδ᾽
urn:cite:perseus:lextoken.ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@ἐγὼ	ἐγὼ
urn:cite:perseus:lextoken.οὐ	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@οὐ	οὐ
urn:cite:perseus:lextoken.λύσω	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@λύσω·	λύσω
urn:cite:perseus:lextoken.πρίν	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@πρίν	πρίν
urn:cite:perseus:lextoken.μιν	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@μιν	μιν
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@καὶ	καὶ
urn:cite:perseus:lextoken.γῆρας	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@γῆρας	γῆρας
urn:cite:perseus:lextoken.ἔπεισιν	urn:cts:greekLit:tlg0012.tlg001.msB:1.29@ἔπεισιν	ἔπεισιν
urn:cite:perseus:lextoken.ἡμετέρῳ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@ἡμετέρῳ	ἡμετέρῳ
urn:cite:perseus:lextoken.ἐνὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@ἐνὶ	ἐνὶ
urn:cite:perseus:lextoken.οἴκῳ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@οἴκῳ	οἴκῳ
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@ἐν	ἐν
urn:cite:perseus:lextoken.Ἄργεϊ	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@Ἄργεϊ	Ἄργεϊ
urn:cite:perseus:lextoken.τηλόθι	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@τηλόθι	τηλόθι
urn:cite:perseus:lextoken.πάτρης	urn:cts:greekLit:tlg0012.tlg001.msB:1.30@πάτρης	πάτρης
urn:cite:perseus:lextoken.ἱστὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἱστὸν	ἱστὸν
urn:cite:perseus:lextoken.ἐποιχομένην	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἐποιχομένην	ἐποιχομένην
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@καὶ	καὶ
urn:cite:perseus:lextoken.ἐμὸν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἐμὸν	ἐμὸν
urn:cite:perseus:lextoken.λέχος	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@λέχος	λέχος
urn:cite:perseus:lextoken.ἀντιόωσαν	urn:cts:greekLit:tlg0012.tlg001.msB:1.31@ἀντιόωσαν·	ἀντιόωσαν
urn:cite:perseus:lextoken.ἀλλ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἀλλ᾽	ἀλλ᾽
urn:cite:perseus:lextoken.ἴθι	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἴθι	ἴθι
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@μή	μή
urn:cite:perseus:lextoken.μ᾽	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@μ᾽	μ᾽
urn:cite:perseus:lextoken.ἐρέθιζε	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ἐρέθιζε	ἐρέθιζε
urn:cite:perseus:lextoken.σαώτερος	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@σαώτερος	σαώτερος
urn:cite:perseus:lextoken.ὥς	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@ὥς	ὥς
urn:cite:perseus:lextoken.κε	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@κε	κε
urn:cite:perseus:lextoken.νέηαι	urn:cts:greekLit:tlg0012.tlg001.msB:1.32@νέηαι.	νέηαι
